product_title,positive_rate
"ONKO Cologne Stand for Men,Fragrance Display Stand for Men,Black Cologne Storage Shelf,4-Tier of Elevated Perfume Holder with Drawer,Wooden Fragrance and Watch Shelf Organizer,Room Decor Accessories",0.8888888888888888
"Old Spice GentleMan's Aluminum Free Dry Feel Deodorant for Men, 24/7 Lasting Freshness, Gentle on Skin with Skin Conditioners, Himalayan Sea Salt + Glacier Water Scent, 3.0 oz (Pack of 3)",0.8
"Organic Perfume: The Complete Beginners Guide & 50 Best Recipes For Making Heavenly, Non-Toxic Organic DIY Perfumes From Your Home! (Aromatherapy, Essential Oils, Homemade Perfume)",0.8055555555555556
PAWFUME Premium Grooming Spray Dog Spray Deodorizer Perfume For Dogs - Dog Cologne Spray Long Lasting Dog Sprays - Dog Perfume Spray Long Lasting After Bath- Dog deodorizing Spray (Lavender),0.87
"PIRETTE Mini Fragrance Oil Roll On, Beach-Inspired, & Long Lasting Perfume Oil with Notes of Fresh Green Coconut, Surf Wax & Sunscreen, Travel Size Perfume for Women, 0.25 fl oz",0.5142857142857142
"Pacifica Island Vanilla Hair Mist Perfume and Full Body Spray for Women - Fragrance Spray for A Mood-Lifting Experience, Paraben-Free, Clean Beauty No Alcohol, Vegan & Cruelty-Free, 6 oz oz",0.75
Perfume,0.7192982456140351
Perfume Atomizer Travel Bottle Refillable: Cologne Sprayer Portable for Men - Mini Spray Empty for Refill - 8ml Small Size Grey,0.7678571428571429
"Perfume Refillable Bottle,4pack Perfume Atomizer Cologne Container Empty Travel Perfume Bottle,Clear Glass Perfume Spray Bottles for Travel Essentials (10ml)",0.75
"Perfume Travel Refillable Bottle, 10ML Genuine Leather Atomizer Sprayer for Perfume - Portable Mini Cologne Sprayer for Woman Man - Travel Essential Fragrance Spray Bottle (Green)",0.8611111111111112
"Perfume Travel Refillable Pocket Perfume Dispenser, Holder and Small Perfumes for Women Travel Size, Refillable Perfume Bottle Cologne Atomizer for Outdoor Activities",0.68
"Perfume Tray Makeup Perfume Organizer Vanity Organizer Decorative Dresser Tray Bathroom Organizer Countertop Bathroom Trays for Counter, Green",0.6
Perfume and Pain: A Novel,0.8421052631578947
Perfume: The Alchemy of Scent,0.6222222222222222
Perfume: The Story of a Murderer,0.88
Perfume: The Story of a Murderer (Vintage International),0.81
Perfumes,0.9354838709677419
Perfumes: The A-Z Guide,0.82
"Pherolec Global COPULINOL Pheromone Perfume for Women - Ultra Potent Pheromone Cologne for Her - Womens Fragrance for Business, Social Events, Date Nights & Gifting - 0.17 Fl. Oz Dropper",0.8571428571428571
"Pheromone Cologne for Men &Women, No. E07, Inspired by Paco-Ra'banne's One M-illion,Sweet-spicy Leather, Amber Note,Travel Size Perfume Oil Spray, 0.34fl., Enhanced Scents Mens Cologne (E07)",0.68
"Pheromone Perfume for Women,Fragrance Pheromone Cologne Attract Men, Long Lasting Women's Perfume, Roller Ball Design, Portable and Fruity",0.83
